,GBPUSD
2020-05-04,1.2406
2020-05-01,1.2504
2020-04-30,1.2430
2020-04-29,1.2390
2020-04-28,1.2406
2020-04-27,1.2361
2020-04-24,1.2300
2020-04-23,1.2309
2020-04-22,1.2276
2020-04-21,1.2263
2020-04-20,1.2418
2020-04-17,1.2409
2020-04-16,1.2414
2020-04-15,1.2441
2020-04-14,1.2512
2020-04-13,1.2456
2020-04-10,1.2450
2020-04-09,1.2362
2020-04-08,1.2290
2020-04-07,1.2220
2020-04-06,1.2213
2020-04-03,1.2207
2020-04-02,1.2355
2020-04-01,1.2335
2020-03-31,1.2267
2020-03-30,1.2320
2020-03-27,1.2153
2020-03-26,1.1823
2020-03-25,1.1647
2020-03-24,1.1584
2020-03-23,1.1480
2020-03-20,1.1482
2020-03-19,1.1477
2020-03-18,1.1746
2020-03-17,1.2009
2020-03-16,1.2223
2020-03-13,1.2401
2020-03-12,1.2543
2020-03-11,1.2855
2020-03-10,1.2934
2020-03-09,1.3036
2020-03-06,1.2950
2020-03-05,1.2862
2020-03-04,1.2772
2020-03-03,1.2760
2020-03-02,1.2742
2020-02-28,1.2754
2020-02-27,1.2863
2020-02-26,1.2913
2020-02-25,1.2917
2020-02-24,1.2889
2020-02-21,1.2880
2020-02-20,1.2851
2020-02-19,1.2928
2020-02-18,1.2973
2020-02-17,1.3004
2020-02-14,1.3004
2020-02-13,1.2945
2020-02-12,1.2953
2020-02-11,1.2896
2020-02-10,1.2874
2020-02-07,1.2900
2020-02-06,1.2924
2020-02-05,1.2959
2020-02-04,1.2944
2020-02-03,1.3001
2020-01-31,1.3086
2020-01-30,1.2980
2020-01-29,1.2991
2020-01-28,1.2978
2020-01-27,1.3051
2020-01-24,1.3060
2020-01-23,1.3098
2020-01-22,1.3038
2020-01-21,1.2996
2020-01-20,1.2965
2020-01-17,1.3018
2020-01-16,1.3029
2020-01-15,1.2989
2020-01-14,1.2957
2020-01-13,1.2962
2020-01-10,1.3049
2020-01-09,1.3015
2020-01-08,1.3083
2020-01-07,1.3096
2020-01-06,1.3065
2020-01-03,1.3055
2020-01-02,1.3125
2020-01-01,1.3219
2019-12-31,1.3110
2019-12-30,1.3088
2019-12-27,1.2972
2019-12-26,1.2961
2019-12-25,1.2923
2019-12-24,1.2923
2019-12-23,1.2907
2019-12-20,1.3008
2019-12-19,1.2997
2019-12-18,1.3062
2019-12-17,1.3104
2019-12-16,1.3326
2019-12-13,1.3310
2019-12-12,1.3116
2019-12-11,1.3113
2019-12-10,1.3135
2019-12-09,1.3137
2019-12-06,1.3102
2019-12-05,1.3106
2019-12-04,1.2984
2019-12-03,1.2931
2019-12-02,1.2898
2019-11-29,1.2882
2019-11-28,1.2901
2019-11-27,1.2828
2019-11-26,1.2838
2019-11-25,1.2842
2019-11-22,1.2827
2019-11-21,1.2900
2019-11-20,1.2892
2019-11-19,1.2925
2019-11-18,1.2917
2019-11-15,1.2869
2019-11-14,1.2826
2019-11-13,1.2825
2019-11-12,1.2817
2019-11-11,1.2787
2019-11-08,1.2770
2019-11-07,1.2796
2019-11-06,1.2868
2019-11-05,1.2861
2019-11-04,1.2901
2019-11-01,1.2935
2019-10-31,1.2903
2019-10-30,1.2859
2019-10-29,1.2810
2019-10-28,1.2812
2019-10-25,1.2805
2019-10-24,1.2808
2019-10-23,1.2843
2019-10-22,1.2894
2019-10-21,1.2891
2019-10-18,1.2841
2019-10-17,1.2756
2019-10-16,1.2668
2019-10-15,1.2604
2019-10-14,1.2522
2019-10-11,1.2430
2019-10-10,1.2210
2019-10-09,1.2200
2019-10-08,1.2199
2019-10-07,1.2290
2019-10-04,1.2277
2019-10-03,1.2267
2019-10-02,1.2229
2019-10-01,1.2211
2019-09-30,1.2285
2019-09-27,1.2273
2019-09-26,1.2305
2019-09-25,1.2357
2019-09-24,1.2416
2019-09-23,1.2415
2019-09-20,1.2465
2019-09-19,1.2442
2019-09-18,1.2441
2019-09-17,1.2395
2019-09-16,1.2402
2019-09-13,1.2329
2019-09-12,1.2286
2019-09-11,1.2323
2019-09-10,1.2308
2019-09-09,1.2237
2019-09-06,1.2289
2019-09-05,1.2213
2019-09-04,1.2087
2019-09-03,1.1959
2019-09-02,1.2039
2019-08-30,1.2162
2019-08-29,1.2185
2019-08-28,1.2164
2019-08-27,1.2210
2019-08-26,1.2209
2019-08-23,1.2196
2019-08-22,1.2110
2019-08-21,1.2115
2019-08-20,1.2067
2019-08-19,1.2106
2019-08-16,1.2083
2019-08-15,1.2051
2019-08-14,1.2047
2019-08-13,1.2044
2019-08-12,1.2019
2019-08-09,1.2057
2019-08-08,1.2098
2019-08-07,1.2122
2019-08-06,1.2143
2019-08-05,1.2103
2019-08-02,1.2092
2019-08-01,1.2082
2019-07-31,1.2147
2019-07-30,1.2121
2019-07-29,1.2216
2019-07-26,1.2378
2019-07-25,1.2465
2019-07-24,1.2429
2019-07-23,1.2420
2019-07-22,1.2458
2019-07-19,1.2496
2019-07-18,1.2429
2019-07-17,1.2383
2019-07-16,1.2397
2019-07-15,1.2512
2019-07-12,1.2523
2019-07-11,1.2506
2019-07-10,1.2445
