,NKE
2018-07-31,76.16
2018-07-30,75.43
2018-07-27,76.79
2018-07-26,76.82
2018-07-25,75.06
2018-07-24,75.44
2018-07-23,76.13
2018-07-20,76.16
2018-07-19,75.80
2018-07-18,76.32
2018-07-17,77.40
2018-07-16,77.30
2018-07-13,77.14
2018-07-12,77.23
2018-07-11,76.83
2018-07-10,77.16
2018-07-09,76.35
2018-07-06,76.07
2018-07-05,76.14
2018-07-03,76.10
