,ASCCF
2018-08-28,16.50
2018-08-27,16.50
2018-08-24,16.50
2018-08-23,16.50
2018-08-22,16.50
2018-08-21,16.50
2018-08-20,16.50
2018-08-17,16.50
2018-08-16,16.50
2018-08-15,16.50
2018-08-14,16.50
2018-08-13,16.50
2018-08-10,16.50
2018-08-09,16.50
2018-08-08,16.50
2018-08-07,16.50
2018-08-06,16.50
2018-08-03,16.50
2018-08-02,16.50
2018-08-01,16.50
2018-07-31,16.50
2018-07-30,16.50
2018-07-27,16.50
2018-07-26,16.50
2018-07-25,16.50
2018-07-24,16.50
2018-07-23,16.50
2018-07-20,16.50
2018-07-19,16.50
2018-07-18,16.50
2018-07-17,16.50
2018-07-16,16.50
2018-07-13,16.50
2018-07-12,16.50
2018-07-11,16.50
2018-07-10,16.50
2018-07-09,16.50
2018-07-06,16.50
2018-07-05,16.50
2018-07-03,16.50
