,NZDUSD
2019-10-04,0.6304
2019-10-03,0.6257
2019-10-02,0.6221
2019-10-01,0.6207
2019-09-30,0.6251
2019-09-27,0.6280
2019-09-26,0.6272
2019-09-25,0.6275
2019-09-24,0.6289
2019-09-23,0.6260
2019-09-20,0.6257
2019-09-19,0.6300
2019-09-18,0.6330
2019-09-17,0.6324
2019-09-16,0.6351
2019-09-13,0.6377
2019-09-12,0.6415
2019-09-11,0.6409
2019-09-10,0.6411
2019-09-09,0.6414
2019-09-06,0.6371
2019-09-05,0.6357
2019-09-04,0.6328
2019-09-03,0.6271
2019-09-02,0.6291
2019-08-30,0.6291
2019-08-29,0.6307
2019-08-28,0.6327
2019-08-27,0.6360
2019-08-26,0.6364
2019-08-23,0.6370
2019-08-22,0.6363
2019-08-21,0.6397
2019-08-20,0.6404
2019-08-19,0.6410
2019-08-16,0.6425
2019-08-15,0.6429
2019-08-14,0.6425
2019-08-13,0.6424
2019-08-12,0.6445
2019-08-09,0.6478
2019-08-08,0.6437
2019-08-07,0.6379
2019-08-06,0.6524
2019-08-05,0.6490
2019-08-02,0.6506
2019-08-01,0.6537
2019-07-31,0.6589
2019-07-30,0.6604
2019-07-29,0.6617
2019-07-26,0.6628
2019-07-25,0.6668
2019-07-24,0.6693
2019-07-23,0.6706
2019-07-22,0.6760
2019-07-19,0.6766
2019-07-18,0.6730
2019-07-17,0.6702
2019-07-16,0.6702
2019-07-15,0.6695
2019-07-12,0.6661
2019-07-11,0.6645
2019-07-10,0.6588
2019-07-09,0.6602
2019-07-08,0.6623
2019-07-05,0.6604
2019-07-04,0.6679
2019-07-03,0.6675
2019-07-02,0.6658
2019-07-01,0.6674
2019-06-28,0.6692
2019-06-27,0.6673
2019-06-26,0.6626
2019-06-25,0.6625
2019-06-24,0.6592
2019-06-21,0.6555
2019-06-20,0.6555
2019-06-19,0.6516
2019-06-18,0.6492
2019-06-17,0.6498
2019-06-14,0.6500
2019-06-13,0.6558
2019-06-12,0.6568
2019-06-11,0.6571
2019-06-10,0.6613
2019-06-07,0.6615
2019-06-06,0.6621
2019-06-05,0.6611
2019-06-04,0.6579
2019-06-03,0.6534
2019-05-31,0.6499
2019-05-30,0.6497
2019-05-29,0.6507
2019-05-28,0.6545
2019-05-27,0.6544
2019-05-24,0.6514
2019-05-23,0.6483
2019-05-21,0.6502
2019-05-20,0.6527
2019-05-17,0.6521
2019-05-16,0.6547
2019-05-15,0.6552
2019-05-14,0.6574
2019-05-13,0.6569
2019-05-10,0.6588
2019-05-09,0.6570
2019-05-08,0.6541
2019-05-07,0.6591
2019-05-06,0.6603
2019-05-03,0.6611
2019-05-02,0.6610
2019-05-01,0.6645
2019-04-30,0.6656
2019-04-29,0.6658
2019-04-26,0.6628
2019-04-25,0.6582
2019-04-24,0.6602
2019-04-23,0.6631
2019-04-22,0.6674
2019-04-19,0.6683
2019-04-18,0.6676
2019-04-17,0.6700
2019-04-16,0.6743
2019-04-15,0.6752
2019-04-12,0.6716
2019-04-11,0.6726
2019-04-10,0.6739
2019-04-09,0.6739
2019-04-08,0.6724
2019-04-05,0.6720
2019-04-04,0.6749
2019-04-03,0.6745
2019-04-02,0.6740
2019-04-01,0.6812
2019-03-29,0.6779
2019-03-28,0.6783
2019-03-27,0.6789
2019-03-26,0.6896
2019-03-25,0.6874
2019-03-22,0.6868
2019-03-21,0.6875
2019-03-20,0.6830
2019-03-19,0.6843
2019-03-18,0.6841
2019-03-15,0.6836
2019-03-14,0.6811
2019-03-13,0.6831
2019-03-12,0.6830
2019-03-11,0.6792
2019-03-08,0.6754
2019-03-07,0.6765
2019-03-06,0.6755
2019-03-05,0.6770
2019-03-04,0.6797
2019-03-01,0.6805
2019-02-28,0.6797
2019-02-27,0.6838
2019-02-26,0.6873
2019-02-25,0.6862
2019-02-22,0.6764
2019-02-21,0.6804
2019-02-20,0.6852
2019-02-19,0.6816
2019-02-18,0.6842
2019-02-15,0.6811
2019-02-14,0.6804
2019-02-13,0.6731
2019-02-12,0.6722
2019-02-11,0.6730
2019-02-08,0.6731
2019-02-07,0.6746
2019-02-06,0.6837
2019-02-05,0.6873
2019-02-04,0.6871
2019-02-01,0.6902
2019-01-31,0.6896
2019-01-30,0.6823
2019-01-29,0.6819
2019-01-28,0.6833
2019-01-25,0.6749
2019-01-24,0.6764
2019-01-23,0.6752
2019-01-22,0.6708
2019-01-21,0.6715
2019-01-18,0.6748
2019-01-17,0.6730
2019-01-16,0.6757
