,PLNT
2019-10-16,59.54
2019-10-15,59.83
2019-10-14,59.30
2019-10-11,57.83
2019-10-10,57.02
2019-10-09,56.24
2019-10-08,56.14
2019-10-07,57.21
2019-10-04,57.22
2019-10-03,56.63
2019-10-02,56.44
2019-10-01,58.00
2019-09-30,56.69
2019-09-27,57.16
2019-09-26,58.90
2019-09-25,60.17
2019-09-24,61.48
2019-09-23,60.04
2019-09-20,59.67
2019-09-19,61.31
2019-09-18,61.03
2019-09-17,61.71
2019-09-16,61.24
2019-09-13,61.85
2019-09-12,63.08
2019-09-11,63.44
2019-09-10,62.32
2019-09-09,62.79
2019-09-06,64.84
2019-09-05,64.83
2019-09-04,67.07
2019-09-03,66.47
2019-08-30,70.19
2019-08-29,71.67
2019-08-28,69.60
2019-08-27,68.54
2019-08-26,66.77
2019-08-23,66.45
2019-08-22,65.84
2019-08-21,66.73
2019-08-20,66.88
2019-08-19,69.44
2019-08-16,69.11
2019-08-15,67.14
2019-08-14,68.67
2019-08-13,70.55
2019-08-12,70.99
2019-08-09,72.70
2019-08-08,72.31
2019-08-07,66.24
2019-08-06,75.32
2019-08-05,74.10
2019-08-02,76.24
2019-08-01,77.86
2019-07-31,77.86
2019-07-30,77.00
2019-07-29,77.94
2019-07-26,78.17
2019-07-25,76.37
2019-07-24,74.56
2019-07-23,73.25
2019-07-22,74.04
2019-07-19,74.17
2019-07-18,75.41
2019-07-17,76.21
2019-07-16,77.16
2019-07-15,76.29
2019-07-12,76.00
2019-07-11,75.91
2019-07-10,76.18
2019-07-09,75.85
2019-07-08,75.06
2019-07-05,74.82
2019-07-03,75.62
2019-07-02,75.19
2019-07-01,73.46
2019-06-28,72.01
2019-06-27,72.25
2019-06-26,70.10
2019-06-25,70.27
2019-06-24,73.55
2019-06-21,75.75
2019-06-20,77.60
2019-06-19,78.51
2019-06-18,79.43
2019-06-17,80.20
2019-06-14,78.91
2019-06-13,78.02
2019-06-12,76.60
2019-06-11,76.13
2019-06-10,77.64
2019-06-07,77.87
2019-06-06,77.14
2019-06-05,76.76
2019-06-04,76.11
2019-06-03,75.56
2019-05-31,74.55
2019-05-30,74.38
2019-05-29,73.82
2019-05-28,74.86
2019-05-24,74.07
2019-05-23,73.73
2019-05-22,75.51
2019-05-21,75.36
2019-05-20,77.44
2019-05-17,79.70
2019-05-16,78.86
2019-05-15,77.98
2019-05-14,76.13
2019-05-13,75.42
2019-05-10,76.58
2019-05-09,75.45
2019-05-08,74.26
2019-05-07,72.65
2019-05-06,70.98
2019-05-03,67.50
2019-05-02,73.62
2019-05-01,75.31
2019-04-30,75.13
2019-04-29,75.25
2019-04-26,75.23
2019-04-25,74.38
2019-04-24,73.16
2019-04-23,72.98
2019-04-22,72.69
2019-04-18,72.48
2019-04-17,71.87
2019-04-16,73.14
2019-04-15,71.65
2019-04-12,71.22
2019-04-11,70.76
2019-04-10,70.36
2019-04-09,70.12
2019-04-08,69.77
2019-04-05,70.82
2019-04-04,70.39
2019-04-03,69.47
2019-04-02,69.45
2019-04-01,68.62
2019-03-29,67.43
2019-03-28,67.16
2019-03-27,65.79
2019-03-26,66.36
2019-03-25,66.46
2019-03-22,66.46
2019-03-21,67.34
2019-03-20,66.91
