,RCI
2020-01-27,49.63
2020-01-24,50.05
2020-01-23,50.14
2020-01-22,49.30
2020-01-21,49.37
2020-01-17,49.42
2020-01-16,49.59
2020-01-15,49.45
2020-01-14,49.52
2020-01-13,49.33
2020-01-10,49.39
2020-01-09,49.43
2020-01-08,49.69
2020-01-07,49.44
2020-01-06,49.45
2020-01-03,49.21
2020-01-02,49.32
2019-12-31,49.35
2019-12-30,49.29
2019-12-27,49.42
2019-12-26,49.14
2019-12-24,49.16
2019-12-23,49.07
2019-12-20,49.12
2019-12-19,47.85
2019-12-18,47.74
2019-12-17,48.33
2019-12-16,48.32
2019-12-13,47.85
2019-12-12,47.76
2019-12-11,47.45
2019-12-10,47.59
2019-12-09,48.33
2019-12-06,48.42
2019-12-05,48.18
2019-12-04,47.55
2019-12-03,47.12
2019-12-02,47.56
2019-11-29,47.75
2019-11-27,47.53
2019-11-26,47.26
2019-11-25,47.57
2019-11-22,47.23
2019-11-21,47.09
2019-11-20,47.33
2019-11-19,47.63
2019-11-18,47.81
2019-11-15,47.74
2019-11-14,47.50
2019-11-13,47.39
2019-11-12,47.06
2019-11-11,47.15
2019-11-08,47.15
2019-11-07,47.45
2019-11-06,46.95
2019-11-05,46.84
2019-11-04,46.75
2019-11-01,46.73
2019-10-31,46.71
2019-10-30,46.17
2019-10-29,46.87
2019-10-28,46.89
2019-10-25,46.06
2019-10-24,45.94
2019-10-23,46.59
2019-10-22,50.42
2019-10-21,49.91
2019-10-18,49.51
2019-10-17,49.14
2019-10-16,48.26
2019-10-15,47.78
2019-10-14,47.78
2019-10-11,48.15
2019-10-10,47.74
2019-10-09,47.62
2019-10-08,47.72
2019-10-07,48.46
2019-10-04,48.63
2019-10-03,48.27
2019-10-02,48.43
2019-10-01,48.70
2019-09-30,48.73
2019-09-27,48.65
2019-09-26,49.56
2019-09-25,49.73
2019-09-24,49.73
2019-09-23,49.35
2019-09-20,50.04
2019-09-19,50.35
2019-09-18,50.39
2019-09-17,50.28
2019-09-16,50.08
2019-09-13,50.65
2019-09-12,50.61
2019-09-11,50.35
2019-09-10,50.01
2019-09-09,49.87
2019-09-06,49.04
2019-09-05,48.85
2019-09-04,49.41
2019-09-03,48.72
2019-08-30,49.37
2019-08-29,48.65
2019-08-28,48.56
2019-08-27,48.82
2019-08-26,49.37
2019-08-23,49.62
2019-08-22,49.98
2019-08-21,50.28
2019-08-20,50.26
2019-08-19,51.09
2019-08-16,50.85
2019-08-15,50.57
2019-08-14,50.72
2019-08-13,51.24
2019-08-12,51.47
2019-08-09,51.67
2019-08-08,51.69
2019-08-07,51.17
2019-08-06,50.99
2019-08-05,51.27
2019-08-02,52.02
2019-08-01,51.63
2019-07-31,51.28
2019-07-30,52.25
2019-07-29,52.70
2019-07-26,52.45
2019-07-25,52.62
2019-07-24,52.85
2019-07-23,51.69
2019-07-22,52.91
2019-07-19,53.25
2019-07-18,53.50
2019-07-17,53.63
2019-07-16,53.62
2019-07-15,53.84
2019-07-12,53.72
2019-07-11,53.59
2019-07-10,53.25
2019-07-09,53.40
2019-07-08,53.73
2019-07-05,54.21
2019-07-03,54.35
2019-07-02,53.36
2019-07-01,53.07
2019-06-28,53.06
2019-06-27,52.57
2019-06-26,52.42
2019-06-25,52.64
2019-06-24,52.24
2019-06-21,52.29
2019-06-20,52.71
2019-06-19,52.56
2019-06-18,51.67
2019-06-17,51.28
2019-06-14,51.11
2019-06-13,51.60
2019-06-12,52.81
2019-06-11,52.72
2019-06-10,53.00
2019-06-07,53.34
2019-06-06,53.36
2019-06-05,53.19
2019-06-04,52.96
2019-06-03,52.48
2019-05-31,52.37
2019-05-30,52.54
2019-05-29,52.67
2019-05-28,52.41
2019-05-24,52.40
2019-05-23,51.93
2019-05-22,51.45
2019-05-21,51.53
2019-05-20,50.90
2019-05-17,50.89
2019-05-16,50.85
2019-05-15,50.64
2019-05-14,50.48
2019-05-13,50.75
2019-05-10,50.45
2019-05-09,50.64
2019-05-08,51.24
2019-05-07,50.53
2019-05-06,50.45
2019-05-03,50.52
2019-05-02,50.32
2019-05-01,50.51
2019-04-30,49.83
2019-04-29,49.85
2019-04-26,49.51
2019-04-25,48.85
2019-04-24,48.83
2019-04-23,48.68
2019-04-22,49.62
2019-04-18,50.06
2019-04-17,52.74
2019-04-16,53.27
2019-04-15,53.35
2019-04-12,52.78
2019-04-11,53.42
2019-04-10,53.62
2019-04-09,53.82
2019-04-08,53.45
2019-04-05,53.33
2019-04-04,53.86
2019-04-03,54.04
2019-04-02,53.50
2019-04-01,53.37
2019-03-29,53.65
2019-03-28,53.57
2019-03-27,53.30
2019-03-26,52.88
2019-03-25,53.25
2019-03-22,53.82
2019-03-21,53.98
2019-03-20,53.86
2019-03-19,53.92
2019-03-18,54.14
2019-03-15,54.24
2019-03-14,53.67
2019-03-13,53.55
2019-03-12,53.15
2019-03-11,52.64
2019-03-08,52.47
2019-03-07,52.43
2019-03-06,51.66
2019-03-05,52.20
2019-03-04,51.34
2019-03-01,51.73
2019-02-28,55.15
2019-02-27,55.06
2019-02-26,55.13
2019-02-25,54.99
2019-02-22,55.21
2019-02-21,54.98
2019-02-20,54.96
2019-02-19,54.44
2019-02-15,54.56
2019-02-14,53.57
2019-02-13,53.71
2019-02-12,53.35
2019-02-11,53.12
2019-02-08,53.70
2019-02-07,53.73
2019-02-06,53.82
2019-02-05,54.58
2019-02-04,54.18
2019-02-01,53.95
2019-01-31,53.12
2019-01-30,52.98
2019-01-29,52.98
2019-01-28,52.38
2019-01-25,52.36
2019-01-24,52.34
2019-01-23,54.18
2019-01-22,54.07
2019-01-18,54.35
2019-01-17,53.86
2019-01-16,53.78
2019-01-15,53.90
2019-01-14,54.09
2019-01-11,54.08
2019-01-10,53.64
2019-01-09,53.19
2019-01-08,52.91
2019-01-07,52.07
2019-01-04,52.07
2019-01-03,50.86
2019-01-02,50.65
2018-12-31,51.04
2018-12-28,50.72
2018-12-27,49.89
2018-12-26,49.68
2018-12-24,50.00
2018-12-21,50.05
2018-12-20,51.17
2018-12-19,51.95
2018-12-18,52.28
2018-12-17,52.04
2018-12-14,52.39
2018-12-13,52.66
2018-12-12,52.71
2018-12-11,52.22
2018-12-10,52.13
2018-12-07,53.19
2018-12-06,52.11
2018-12-04,53.71
2018-12-03,53.26
2018-11-30,52.80
2018-11-29,52.37
2018-11-28,52.80
2018-11-27,52.73
2018-11-26,52.45
2018-11-23,52.07
2018-11-21,51.98
2018-11-20,51.76
2018-11-19,53.18
2018-11-16,52.85
2018-11-15,52.84
2018-11-14,52.77
2018-11-13,51.38
2018-11-12,51.02
2018-11-09,50.91
2018-11-08,50.58
2018-11-07,50.71
2018-11-06,50.33
2018-11-05,50.81
2018-11-02,50.67
2018-11-01,50.83
2018-10-31,51.10
2018-10-30,50.85
2018-10-29,50.53
2018-10-26,49.95
2018-10-25,51.53
2018-10-24,51.10
2018-10-23,50.67
2018-10-22,50.62
2018-10-19,50.44
2018-10-18,51.17
2018-10-17,51.11
2018-10-16,50.68
2018-10-15,49.48
2018-10-12,49.27
2018-10-11,49.44
2018-10-10,50.00
2018-10-09,51.09
2018-10-08,51.37
2018-10-05,51.05
2018-10-04,51.00
2018-10-03,50.84
2018-10-02,50.81
2018-10-01,51.28
2018-09-28,50.94
2018-09-27,51.15
2018-09-26,50.97
2018-09-25,50.92
2018-09-24,51.33
2018-09-21,51.72
2018-09-20,51.66
2018-09-19,51.65
2018-09-18,52.39
2018-09-17,52.24
2018-09-14,51.90
2018-09-13,51.96
2018-09-12,52.04
2018-09-11,51.69
2018-09-10,51.63
2018-09-07,51.43
2018-09-06,51.20
2018-09-05,50.51
2018-09-04,50.77
2018-08-31,51.46
2018-08-30,52.06
2018-08-29,52.70
2018-08-28,52.55
2018-08-27,52.32
2018-08-24,52.03
2018-08-23,51.98
2018-08-22,52.33
2018-08-21,52.70
2018-08-20,53.04
2018-08-17,52.65
2018-08-16,52.18
2018-08-15,51.50
2018-08-14,51.70
2018-08-13,51.00
2018-08-10,50.83
2018-08-09,51.60
2018-08-08,50.87
2018-08-07,50.94
2018-08-06,50.84
2018-08-03,50.85
2018-08-02,50.63
2018-08-01,50.46
2018-07-31,50.24
2018-07-30,50.18
2018-07-27,49.63
2018-07-26,49.51
2018-07-25,49.54
2018-07-24,49.73
2018-07-23,49.83
2018-07-20,50.03
2018-07-19,49.04
2018-07-18,50.32
2018-07-17,50.06
2018-07-16,49.98
2018-07-13,49.78
2018-07-12,49.13
2018-07-11,48.65
2018-07-10,48.62
2018-07-09,48.51
2018-07-06,47.96
2018-07-05,47.12
2018-07-03,47.05
