,HGLD
2019-08-20,0.0469
2019-08-19,0.0469
2019-08-16,0.0469
2019-08-15,0.0429
2019-08-14,0.0429
2019-08-13,0.0429
2019-08-12,0.0490
2019-08-09,0.0490
2019-08-08,0.0400
2019-08-07,0.0650
2019-08-06,0.0650
2019-08-05,0.0742
2019-08-02,0.0742
2019-08-01,0.0730
2019-07-31,0.0998
2019-07-30,0.0998
2019-07-29,0.0998
2019-07-26,0.0998
