,LULU
2019-10-30,204.30
2019-10-29,204.66
2019-10-28,203.00
2019-10-25,205.00
2019-10-24,204.91
2019-10-23,203.50
2019-10-22,203.96
2019-10-21,203.00
2019-10-18,203.31
2019-10-17,204.23
2019-10-16,201.67
2019-10-15,202.31
2019-10-14,201.24
2019-10-11,199.55
2019-10-10,191.61
2019-10-09,192.00
2019-10-08,188.94
2019-10-07,190.81
2019-10-04,189.95
2019-10-03,185.36
2019-10-02,187.12
2019-10-01,191.32
2019-09-30,190.05
2019-09-27,188.55
2019-09-26,189.64
2019-09-25,190.57
2019-09-24,190.74
2019-09-23,190.70
2019-09-20,189.18
2019-09-19,193.17
2019-09-18,192.65
2019-09-17,193.38
2019-09-16,192.12
2019-09-13,194.86
2019-09-12,196.88
2019-09-11,192.00
2019-09-10,190.90
2019-09-09,194.06
2019-09-06,197.75
2019-09-05,183.88
2019-09-04,179.99
2019-09-03,178.26
2019-08-30,182.59
2019-08-29,184.16
2019-08-28,178.53
2019-08-27,179.80
2019-08-26,180.16
2019-08-23,178.83
2019-08-22,180.78
2019-08-21,179.91
2019-08-20,177.24
2019-08-19,177.37
2019-08-16,176.18
2019-08-15,172.44
2019-08-14,174.01
2019-08-13,176.42
2019-08-12,177.66
2019-08-09,180.94
2019-08-08,182.26
2019-08-07,176.02
2019-08-06,175.82
2019-08-05,172.12
2019-08-02,177.60
2019-08-01,184.07
2019-07-31,189.04
2019-07-30,189.46
2019-07-29,188.68
2019-07-26,189.81
2019-07-25,190.70
2019-07-24,189.07
2019-07-23,186.71
2019-07-22,186.08
2019-07-19,187.88
2019-07-18,187.10
2019-07-17,188.99
2019-07-16,187.67
2019-07-15,186.75
2019-07-12,184.61
2019-07-11,181.60
2019-07-10,183.16
2019-07-09,183.90
2019-07-08,181.60
2019-07-05,180.70
2019-07-03,180.80
2019-07-02,179.59
2019-07-01,179.31
2019-06-28,178.65
2019-06-27,177.09
2019-06-26,177.03
2019-06-25,175.17
2019-06-24,181.55
2019-06-21,180.85
2019-06-20,185.37
2019-06-19,186.09
2019-06-18,184.45
2019-06-17,177.09
2019-06-14,171.60
2019-06-13,172.50
2019-06-12,169.29
2019-06-11,170.31
2019-06-10,170.98
2019-06-07,169.59
2019-06-06,169.71
2019-06-05,169.38
2019-06-04,165.02
2019-06-03,162.29
2019-05-31,160.88
2019-05-30,161.57
2019-05-29,160.88
2019-05-28,173.02
2019-05-24,170.55
2019-05-23,169.99
2019-05-22,174.53
2019-05-21,174.60
2019-05-20,170.28
2019-05-17,172.56
2019-05-16,173.68
2019-05-15,168.85
2019-05-14,167.32
2019-05-13,166.22
2019-05-10,170.01
2019-05-09,171.28
2019-05-08,172.79
2019-05-07,172.10
2019-05-06,174.59
2019-05-03,176.01
2019-05-02,174.81
2019-05-01,175.58
2019-04-30,175.63
2019-04-29,176.50
2019-04-26,175.41
2019-04-25,176.61
2019-04-24,174.41
2019-04-23,173.03
2019-04-22,172.04
2019-04-18,169.72
2019-04-17,167.93
2019-04-16,168.73
2019-04-15,170.02
2019-04-12,167.50
2019-04-11,166.93
2019-04-10,166.68
2019-04-09,165.53
2019-04-08,168.36
2019-04-05,168.84
2019-04-04,166.15
2019-04-03,163.95
2019-04-02,164.01
2019-04-01,163.22
2019-03-29,162.95
2019-03-28,166.10
2019-03-27,143.88
2019-03-26,142.80
2019-03-25,141.34
2019-03-22,142.24
2019-03-21,144.54
2019-03-20,142.13
2019-03-19,143.77
2019-03-18,141.51
2019-03-15,141.55
