,CMCSA
2018-08-29,36.22
2018-08-28,36.20
2018-08-27,36.40
2018-08-24,35.32
2018-08-23,35.26
2018-08-22,35.45
2018-08-21,35.43
2018-08-20,35.30
2018-08-17,35.35
2018-08-16,35.01
2018-08-15,34.67
2018-08-14,35.04
2018-08-13,34.78
2018-08-10,34.95
2018-08-09,35.05
2018-08-08,34.89
2018-08-07,35.19
2018-08-06,35.29
2018-08-03,34.73
2018-08-02,34.62
2018-08-01,35.32
2018-07-31,35.54
2018-07-30,35.02
2018-07-27,34.76
2018-07-26,33.77
2018-07-25,32.81
2018-07-24,33.35
2018-07-23,33.82
2018-07-20,34.29
2018-07-19,34.74
2018-07-18,33.98
2018-07-17,34.21
2018-07-16,34.65
2018-07-13,34.40
2018-07-12,33.60
2018-07-11,33.03
2018-07-10,33.19
2018-07-09,33.25
2018-07-06,33.00
2018-07-05,32.91
2018-07-03,32.99
